run_id,provider,scope,stage,direction,state,bytes_moved,sample_index,seconds
20260828T194650Z-issue17-ref-n256-explicit-parallel,fftw-explicit-parallel-target-wvm-advection,adapter-component,shared advector embedding and inverse FFTs,forward,executed,3158016,0,0.00027183300000000002
20260828T194650Z-issue17-ref-n256-explicit-parallel,fftw-explicit-parallel-target-wvm-advection,adapter-component,shared advector embedding and inverse FFTs,forward,executed,3158016,1,0.000272083
20260828T194650Z-issue17-ref-n256-explicit-parallel,fftw-explicit-parallel-target-wvm-advection,adapter-component,shared advector embedding and inverse FFTs,forward,executed,3158016,2,0.00027087500000000001
20260828T194650Z-issue17-ref-n256-explicit-parallel,fftw-explicit-parallel-target-wvm-advection,adapter-component,shared advector embedding and inverse FFTs,forward,executed,3158016,3,0.000271625
20260828T194650Z-issue17-ref-n256-explicit-parallel,fftw-explicit-parallel-target-wvm-advection,adapter-component,shared advector embedding and inverse FFTs,forward,executed,3158016,4,0.00027141699999999998
20260828T194650Z-issue17-ref-n256-explicit-parallel,fftw-explicit-parallel-target-wvm-advection,adapter-component,shared advector embedding and inverse FFTs,forward,executed,3158016,5,0.00027170800000000001
20260828T194650Z-issue17-ref-n256-explicit-parallel,fftw-explicit-parallel-target-wvm-advection,adapter-component,shared advector embedding and inverse FFTs,forward,executed,3158016,6,0.00027216700000000003
20260828T194650Z-issue17-ref-n256-explicit-parallel,fftw-explicit-parallel-target-wvm-advection,adapter-component,shared advector embedding and inverse FFTs,forward,executed,3158016,7,0.00027145899999999999
20260828T194650Z-issue17-ref-n256-explicit-parallel,fftw-explicit-parallel-target-wvm-advection,adapter-component,shared advector embedding and inverse FFTs,forward,executed,3158016,8,0.00027245900000000001
20260828T194650Z-issue17-ref-n256-explicit-parallel,fftw-explicit-parallel-target-wvm-advection,adapter-component,shared advector embedding and inverse FFTs,forward,executed,3158016,9,0.00027716699999999998
20260828T194650Z-issue17-ref-n256-explicit-parallel,fftw-explicit-parallel-target-wvm-advection,adapter-component,shared advector embedding and inverse FFTs,forward,executed,3158016,10,0.000271291
20260828T194650Z-issue17-ref-n256-explicit-parallel,fftw-explicit-parallel-target-wvm-advection,adapter-component,shared advector embedding and inverse FFTs,forward,executed,3158016,11,0.000283417
20260828T194650Z-issue17-ref-n256-explicit-parallel,fftw-explicit-parallel-target-wvm-advection,adapter-component,shared advector embedding and inverse FFTs,forward,executed,3158016,12,0.00027250000000000001
20260828T194650Z-issue17-ref-n256-explicit-parallel,fftw-explicit-parallel-target-wvm-advection,adapter-component,shared advector embedding and inverse FFTs,forward,executed,3158016,13,0.000299041
20260828T194650Z-issue17-ref-n256-explicit-parallel,fftw-explicit-parallel-target-wvm-advection,adapter-component,shared advector embedding and inverse FFTs,forward,executed,3158016,14,0.00028470900000000001
20260828T194650Z-issue17-ref-n256-explicit-parallel,fftw-explicit-parallel-target-wvm-advection,adapter-component,shared advector embedding and inverse FFTs,forward,executed,3158016,15,0.00027204099999999999
20260828T194650Z-issue17-ref-n256-explicit-parallel,fftw-explicit-parallel-target-wvm-advection,adapter-component,shared advector embedding and inverse FFTs,forward,executed,3158016,16,0.00026725000000000002
